rowid,RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,Have you ever seen Episode I?,Have you ever seen Episode II?,Have you ever seen Episode III?,Have you ever seen Episode IV?,Have you ever seen Episode V?,Have you ever seen Episode VI?,Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film.,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Please state whether you view Han Solo favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Luke Skywalker favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Princess Leia Organa favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Anakin Skywalker favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Obiwan Kenobi favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Emperor Palpatine favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Darth Vader favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Lando Calrissian favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Boba Fett favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view C-3PO favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view R2 D2 favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Jar Jar Binks favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Padme Amidala favorably or unfavorably or are unfamiliar with him/her.,Please state whether you view Yoda favorably or unfavorably or are unfamiliar with him/her.,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region)
227,3290947011,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5,2,1,4,3,6,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Han,No,,Yes,Male,18-29,$100000 - $149999,High school degree,Middle Atlantic
228,3290946211,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,30-44,,Graduate degree,East North Central
229,3290944858,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,3,1,2,4,5,6,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Greedo,No,,Yes,Male,30-44,$100000 - $149999,Some college or Associate degree,Pacific
230,3290944288,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,3,2,1,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Very unfavorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Greedo,Yes,No,No,Male,45-60,,Bachelor degree,West North Central
231,3290941824,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,3,2,1,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Greedo,No,,No,,,,,
232,3290939696,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,3290934328,Yes,No,,,,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,,1,6,5,3,2,4,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very unfavorably,Somewhat unfavorably,Somewhat favorably,Han,No,,No,Male,45-60,$50000 - $99999,Bachelor degree,East North Central
234,3290929229,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,1,2,3,Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Greedo,No,,Yes,Male,30-44,$50000 - $99999,Graduate degree,Pacific
235,3290927126,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,45-60,,Some college or Associate degree,West South Central
236,3290926407,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,> 60,$50000 - $99999,Bachelor degree,West South Central
237,3290922858,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,1,2,3,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,I don't understand this question,Yes,No,No,Male,> 60,$50000 - $99999,High school degree,Middle Atlantic
238,3290920752,Yes,No,Star Wars: Episode I  The Phantom Menace,,,,,,1,2,3,4,5,6,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),I don't understand this question,No,,No,Female,> 60,$0 - $24999,Some college or Associate degree,Pacific
239,3290919823,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,3,2,1,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Han,No,,Yes,Female,30-44,,Graduate degree,West South Central
240,3290919419,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5,6,4,2,3,1,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Somewhat unfavorably,Somewhat unfavorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,I don't understand this question,No,,Yes,Male,45-60,,Bachelor degree,West South Central
241,3290917153,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5,6,4,2,1,3,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Greedo,No,,No,Male,30-44,$150000+,Graduate degree,East North Central
242,3290917131,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,1,2,3,Very favorably,Very favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,,,,,,,,,
243,3290916554,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,3,5,2,6,1,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Han,Yes,Yes,Yes,Female,18-29,,Some college or Associate degree,Mountain
244,3290915885,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,3,6,5,1,4,2,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Han,Yes,Yes,Yes,Male,45-60,,Some college or Associate degree,Pacific
245,3290912485,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,3290912014,Yes,No,,,,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,1,3,2,Very favorably,Very favorably,Very favorably,Unfamiliar (N/A),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Somewhat favorably,Han,No,,No,Female,45-60,$50000 - $99999,Some college or Associate degree,East North Central
247,3290910069,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,3,4,5,6,1,2,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,No,,Yes,Male,45-60,,Some college or Associate degree,New England
248,3290906086,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,1,3,6,2,4,5,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Very unfavorably,Very unfavorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,I don't understand this question,No,,No,Female,45-60,,Graduate degree,East North Central
249,3290906022,Yes,No,,,,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,2,3,1,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Unfamiliar (N/A),Very unfavorably,Unfamiliar (N/A),Unfamiliar (N/A),Somewhat favorably,Somewhat favorably,Unfamiliar (N/A),Unfamiliar (N/A),Somewhat favorably,I don't understand this question,No,,No,Male,45-60,$100000 - $149999,Some college or Associate degree,Mountain
250,3290903423,Yes,No,,,,,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,3,4,5,6,1,2,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Unfamiliar (N/A),Somewhat unfavorably,Unfamiliar (N/A),Somewhat unfavorably,Very favorably,Very favorably,Somewhat favorably,Unfamiliar (N/A),Somewhat favorably,I don't understand this question,No,,No,Female,45-60,$50000 - $99999,Graduate degree,Mountain
251,3290902880,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,6,5,1,2,3,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Han,No,,No,Female,45-60,$150000+,Graduate degree,South Atlantic
252,3290901027,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,2,1,3,Very favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,I don't understand this question,No,,Yes,Male,45-60,$0 - $24999,Graduate degree,East North Central
253,3290896982,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,3290893301,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,> 60,$150000+,Bachelor degree,East North Central
255,3290889443,Yes,No,,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,,,,1,2,3,4,5,6,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Very unfavorably,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Han,No,,No,Female,18-29,$50000 - $99999,Bachelor degree,East North Central
256,3290888715,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,3290888303,Yes,Yes,Star Wars: Episode I  The Phantom Menace,,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,6,5,2,3,1,Somewhat favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Han,No,,Yes,Male,18-29,,High school degree,East North Central
258,3290888102,Yes,No,,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,,,,6,5,3,1,4,2,Very favorably,Very favorably,Somewhat favorably,Very unfavorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),,,Very favorably,Very favorably,,,Very favorably,I don't understand this question,No,,No,Female,45-60,$25000 - $49999,Graduate degree,Mountain
259,3290888079,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,2,3,4,5,6,1,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very unfavorably,Very unfavorably,Very favorably,I don't understand this question,No,,Yes,Female,> 60,,Some college or Associate degree,Middle Atlantic
260,3290884427,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,,Star Wars: Episode VI Return of the Jedi,3,4,5,6,1,2,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Greedo,Yes,No,Yes,Male,45-60,,Bachelor degree,Pacific
261,3290881566,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,1,2,3,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Unfamiliar (N/A),Very favorably,Han,No,,No,Female,> 60,$100000 - $149999,Graduate degree,Pacific
262,3290879019,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,1,2,3,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,Han,No,,Yes,Female,45-60,$25000 - $49999,Graduate degree,East South Central
263,3290878766,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4,5,6,1,2,3,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Unfamiliar (N/A),Somewhat favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,Yes,Yes,Yes,Male,45-60,$150000+,Bachelor degree,South Atlantic
264,3290874545,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,45-60,,,
265,3290873342,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6,2,3,4,1,5,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat unfavorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very unfavorably,Somewhat unfavorably,Somewhat favorably,Han,Yes,Yes,No,Male,30-44,$50000 - $99999,Bachelor degree,Middle Atlantic
